time;car_heading;bearing_to_goal_north;bearing_to_goal_front_of_car;latitude;longitude;distance
21390;89.999998;129.866133;39.866135;43.610497;1.431276;19.866170
21410;89.999998;129.866133;39.866135;43.610497;1.431276;19.866170
21460;89.999998;129.972828;39.972830;43.610497;1.431276;19.822005
21480;89.999998;129.972828;39.972830;43.610497;1.431276;19.822005
21500;89.999998;129.972828;39.972830;43.610497;1.431276;19.822005
21530;89.999998;129.972828;39.972830;43.610497;1.431276;19.822005
21550;89.999998;130.079999;40.080001;43.610497;1.431277;19.777909
21570;89.999998;130.079999;40.080001;43.610497;1.431277;19.777909
21590;89.999998;130.079999;40.080001;43.610497;1.431277;19.777909
21620;89.999998;130.079999;40.080001;43.610497;1.431277;19.777909
21660;89.999998;130.223639;40.223641;43.610497;1.431278;19.719223
21680;89.999998;130.223639;40.223641;43.610497;1.431278;19.719223
21700;89.999998;130.223639;40.223641;43.610497;1.431278;19.719223
21720;89.999998;130.223639;40.223641;43.610497;1.431278;19.719223
21750;89.999998;130.350027;40.350029;43.610497;1.431279;19.667974
21770;89.999998;130.350027;40.350029;43.610497;1.431279;19.667974
21790;89.999998;130.350027;40.350029;43.610497;1.431279;19.667974
21810;89.999998;130.350027;40.350029;43.610497;1.431279;19.667974
21850;89.999998;130.350027;40.350029;43.610497;1.431279;19.667974
21870;89.999998;130.495277;40.495280;43.610497;1.431280;19.609523
21890;89.999998;130.495277;40.495280;43.610497;1.431280;19.609523
21910;89.999998;130.495277;40.495280;43.610497;1.431280;19.609523
21960;89.999998;130.678062;40.678064;43.610497;1.431281;19.536637
21980;89.999998;130.678062;40.678064;43.610497;1.431281;19.536637
22000;89.999998;130.678062;40.678064;43.610497;1.431281;19.536637
22020;89.999998;130.678062;40.678064;43.610497;1.431281;19.536637
22050;89.999998;130.678062;40.678064;43.610497;1.431281;19.536637
22070;89.999998;130.843736;40.843738;43.610497;1.431282;19.471210
22090;89.999998;130.843736;40.843738;43.610497;1.431282;19.471210
22120;89.999998;130.843736;40.843738;43.610497;1.431282;19.471210
22150;89.999998;130.843736;40.843738;43.610497;1.431282;19.471210
